Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
VEH ,JALE5W16XF7301841,COM,KATONAH        ,NY,10536,WESTCHESTER ,2015,ISUZU,VAN ,DIESEL  ,,"19,500",,8/5/2019,9/30/2020,WH   ,N,N,N
VEH ,JALE5J16577901963,COM,KATONAH        ,NY,10536,WESTCHESTER ,2007,ISUZU,DUMP,DIESEL  ,,"17,950",,3/15/2019,3/31/2021,WH   ,N,N,N
VEH ,JALE5J14537900885,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2003,ISUZU,FLAT,DIESEL  ,,"17,950",,3/22/2019,7/31/2020,WH   ,N,N,N
VEH ,JALE5B16777903249,COM,BEDFORD        ,NY,10506,WESTCHESTER ,2007,ISUZU,DUMP,DIESEL  ,,"17,950",,3/27/2019,3/31/2021,WH   ,N,N,N
VEH ,JALE5B16677300664,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2007,ISUZU,UTIL,DIESEL  ,,"19,500",,3/20/2019,3/31/2020,WH   ,N,N,N
VEH ,JALE5B16657300547,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2005,ISUZU,VAN ,DIESEL  ,,"19,500",,8/8/2019,8/31/2020,WH   ,N,N,N
VEH ,JALE5B16357902323,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2005,ISUZU,VAN ,DIESEL  ,,"17,950",,4/24/2018,4/30/2020,WH   ,N,N,N
VEH ,JALE5B16157903132,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2005,ISUZU,VAN ,DIESEL  ,,"17,950",,12/3/2018,1/31/2021,WH   ,N,N,N
VEH ,JALE5B16X67300231,COM,BEDFORD HLS    ,NY,10507,WESTCHESTER ,2006,ISUZU,UTIL,DIESEL  ,,"19,500",,9/27/2019,5/31/2020,WH   ,N,N,N
VEH ,JALE5B14817900995,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2001,ISUZU,UTIL,DIESEL  ,,"17,950",,7/26/2018,7/31/2020,WH   ,N,N,N
VEH ,JALC4J16777006811,COM,BEDFORD        ,NY,10506,WESTCHESTER ,2007,ISUZU,DUMP,DIESEL  ,,"10,977",,3/25/2019,3/31/2021,WH   ,N,N,N
VEH ,JALC4J160J7K00149,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2018,ISUZU,DUMP,DIESEL  ,,"16,000",,10/31/2019,11/4/2021,WH   ,N,N,N
VEH ,JALC4B16277000730,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2007,ISUZU,VAN ,DIESEL  ,,"12,000",,6/21/2018,7/31/2020,WH   ,N,N,N
VEH ,JALC4B1K3V7005008,COM,KATONAH        ,NY,10536,WESTCHESTER ,1997,ISUZU,STAK,DIESEL  ,,"14,250",,9/24/2019,9/30/2021,WH   ,N,N,N
VEH ,JALCDW167H7002143,COM,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2017,CHEVR,DUMP,DIESEL  ,,"14,500",,2/22/2018,2/28/2020,WH   ,N,N,N
VEH ,JALB4W16477400954,COM,BEDFORD        ,NY,10506,WESTCHESTER ,2007,ISUZU,UTIL,DIESEL  ,,"12,000",,4/10/2018,12/31/2019,WH   ,N,N,N
VEH ,F8J25960         ,SPC,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2002,LINK ,TR/C,DIESEL  ,"64,188",,,11/8/2018,12/31/2019,WH   ,N,N,N
VEH ,DW644ED519093    ,SPC,BEDFORD        ,NY,10506,WESTCHESTER ,1988,JO/DE,P/SH,DIESEL  ,"35,000",,,12/5/2018,12/31/2019,YW   ,N,N,N
VEH ,C781788          ,SPC,KATONAH        ,NY,10536,WESTCHESTER ,1989,FORD ,P/SH,DIESEL  ,"7,034",,,11/5/2018,12/31/2019,YW   ,N,N,N
VEH ,C52307846        ,HIS,BEDFORD        ,NY,10506,WESTCHESTER ,1986,AM/GE,FLAT,DIESEL  ,"20,000",,,1/18/2019,1/17/2020,GR   ,N,N,N
VEH ,CAT0938KHSWL02894,PSD,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2014,CATER,P/SH,DIESEL  ,"33,190",,,10/10/2014,,YW   ,N,N,N
VEH ,CAT0930GKTWR01424,PSD,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2006,CATER,P/SH,DIESEL  ,"28,725",,,10/10/2014,,YW   ,N,N,N
VEH ,CAT0430FLRGS00253,PSD,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2012,CATEP,P/SH,DIESEL  ,"15,708",,,10/10/2014,,YW   ,N,N,N
VEH ,A22122           ,SPC,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2006,KM   ,P/SH,DIESEL  ,"17,000",,,11/26/2018,12/31/2019,YW   ,N,N,N
VEH ,9BWGT21J114008519,PAS,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2001,VOLKS,4DSD,DIESEL  ,"3,925",,,2/27/2019,11/30/2020,GY   ,N,N,N
VEH ,87V08761         ,PSD,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,1988,CATER,TRAC,DIESEL  ,"37,900",,,10/10/2014,,YW   ,N,N,N
VEH ,60J10271         ,SPC,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,1994,KAWAS,RBM ,DIESEL  ,"18,960",,,11/13/2018,12/31/2019,YW   ,N,N,N
VEH ,5YJXCDE25HF037940,PAS,BEDFORD        ,NY,10506,WESTCHESTER ,2017,TESLA,SUBN,DIESEL  ,"5,256",,,3/16/2019,3/27/2021,BL   ,N,N,N
VEH ,5UXZW0C59BL655111,PAS,BEDFORD        ,NY,10506,WESTCHESTER ,2011,BMW  ,SUBN,DIESEL  ,"5,192",,,3/18/2019,4/23/2021,BK   ,N,N,N
VEH ,5UXZW0C57CL665881,PAS,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2012,BMW  ,SUBN,DIESEL  ,"5,192",,,12/24/2018,12/10/2020,BL   ,N,N,N
VEH ,5UXZW0C55C0B88775,PAS,KATONAH        ,NY,10536,WESTCHESTER ,2012,BMW  ,SUBN,DIESEL  ,"5,192",,,9/20/2017,12/10/2019,GY   ,N,N,N
